               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068168,            0.051362,            0.042197,               0.294,             0.22641,             0.17494,            0.064237,            0.053866,            0.026973,            0.036592,            0.070123,           0.0033196,           0.0033196
                   1,            0.051757,            0.047259,            0.032487,             0.28588,             0.30868,              0.2033,            0.070859,            0.052029,            0.025944,            0.031959,            0.040058,           0.0065871,           0.0065871
                   2,            0.049703,            0.047304,            0.028455,             0.31941,             0.36661,             0.25797,             0.10077,            0.051568,            0.027954,            0.029749,           0.0099257,           0.0097886,           0.0097886
                   3,            0.047397,             0.04812,            0.027992,             0.23478,             0.22527,              0.1366,            0.046572,            0.054629,            0.031852,            0.032935,            0.009703,            0.009703,            0.009703
                   4,            0.045454,            0.047633,            0.027562,             0.32975,             0.33133,             0.24541,            0.094353,            0.050047,             0.02659,            0.027868,            0.009703,            0.009703,            0.009703
                   5,            0.044753,            0.047576,            0.026329,             0.35006,             0.34085,             0.25011,            0.093282,             0.04961,            0.026503,            0.031581,            0.009604,            0.009604,            0.009604
                   6,            0.044289,            0.047212,            0.026424,             0.39445,             0.36532,             0.32111,              0.1335,            0.046522,            0.024444,             0.02608,            0.009505,            0.009505,            0.009505
                   7,            0.043633,            0.047461,            0.025656,             0.40436,             0.39411,             0.33374,              0.1379,            0.045738,            0.024219,            0.027207,            0.009406,            0.009406,            0.009406
                   8,            0.043468,            0.047084,            0.024665,             0.33019,              0.3913,              0.2867,             0.11548,            0.047699,            0.025398,             0.02455,            0.009307,            0.009307,            0.009307
                   9,            0.042843,            0.046984,            0.024859,             0.31663,             0.33163,             0.24769,            0.096128,             0.04795,            0.027208,            0.031186,            0.009208,            0.009208,            0.009208
                  10,            0.042608,            0.047192,             0.02451,             0.35921,             0.36837,             0.29335,             0.11649,            0.047344,            0.025709,            0.025989,            0.009109,            0.009109,            0.009109
                  11,             0.04199,            0.046886,            0.023741,             0.42848,             0.37944,             0.34346,              0.1455,            0.045587,            0.024434,            0.027638,             0.00901,             0.00901,             0.00901
                  12,            0.041813,            0.046952,            0.023194,             0.39616,             0.35733,              0.3095,             0.12025,            0.048569,            0.026287,            0.028268,            0.008911,            0.008911,            0.008911
                  13,            0.041508,             0.04713,            0.023592,             0.41074,             0.40162,             0.35052,             0.15253,            0.044687,            0.024447,            0.025149,            0.008812,            0.008812,            0.008812
                  14,            0.041537,            0.046489,            0.023333,             0.33986,             0.37364,             0.28266,             0.11573,            0.047005,            0.026506,            0.026462,            0.008713,            0.008713,            0.008713
                  15,            0.041509,            0.046538,            0.023172,             0.37145,             0.39228,             0.32176,             0.13738,            0.046323,            0.025684,             0.02662,            0.008614,            0.008614,            0.008614
                  16,            0.041307,            0.046112,            0.022716,              0.3837,             0.37813,             0.32113,             0.13352,            0.046392,            0.025175,            0.025424,            0.008515,            0.008515,            0.008515
                  17,            0.040725,            0.046113,            0.022679,             0.37896,              0.3893,             0.33073,             0.13913,            0.044393,             0.02467,            0.027465,            0.008416,            0.008416,            0.008416
                  18,            0.040733,             0.04573,             0.02226,             0.38591,             0.38984,             0.31694,             0.13222,            0.047378,            0.025421,            0.026347,            0.008317,            0.008317,            0.008317
                  19,            0.040455,            0.046423,            0.021813,             0.40124,             0.39053,             0.33205,             0.13933,             0.04565,            0.024215,            0.027036,            0.008218,            0.008218,            0.008218
                  20,            0.040069,            0.044692,            0.021667,             0.36426,             0.37595,             0.29074,             0.11621,            0.048142,            0.025998,            0.028626,            0.008119,            0.008119,            0.008119
                  21,            0.040373,            0.045994,            0.021809,             0.36011,             0.37804,             0.26996,             0.10938,            0.047758,            0.026978,            0.031224,             0.00802,             0.00802,             0.00802
                  22,            0.039762,            0.045119,            0.021362,             0.34083,              0.3717,             0.28923,             0.12105,            0.047308,            0.026367,            0.027586,            0.007921,            0.007921,            0.007921
                  23,            0.040117,            0.046224,            0.020739,             0.38277,              0.3929,             0.31762,             0.13542,            0.047146,            0.025528,            0.026579,            0.007822,            0.007822,            0.007822
                  24,            0.039392,             0.04591,            0.020585,             0.36457,             0.38727,             0.31705,             0.13703,            0.045447,            0.024951,            0.027113,            0.007723,            0.007723,            0.007723
                  25,            0.039199,            0.045355,            0.020661,             0.35668,             0.38561,              0.3017,             0.12571,            0.045938,            0.025316,            0.029027,            0.007624,            0.007624,            0.007624
                  26,            0.038956,            0.045599,            0.020074,              0.3741,             0.41782,             0.31231,             0.13133,            0.046082,             0.02523,            0.027128,            0.007525,            0.007525,            0.007525
                  27,            0.039045,            0.045219,            0.020562,              0.3621,             0.38224,             0.30998,             0.13002,             0.04628,            0.025251,            0.027577,            0.007426,            0.007426,            0.007426
                  28,            0.038843,            0.045609,            0.019538,             0.33147,             0.35269,             0.27312,             0.10825,            0.047342,            0.026408,            0.031688,            0.007327,            0.007327,            0.007327
                  29,            0.038619,            0.045284,            0.019332,               0.329,             0.38131,             0.28607,             0.12116,            0.046353,            0.025548,            0.032319,            0.007228,            0.007228,            0.007228
                  30,            0.038495,            0.045159,            0.019556,             0.34213,             0.41389,             0.29063,             0.12154,            0.046773,            0.025383,            0.028647,            0.007129,            0.007129,            0.007129
                  31,            0.038193,            0.045001,            0.019012,             0.31768,             0.37885,             0.27026,             0.11157,            0.046767,            0.027432,            0.031178,             0.00703,             0.00703,             0.00703
                  32,            0.038207,            0.044483,            0.019479,             0.34814,             0.38518,             0.29776,             0.12519,            0.045425,            0.025667,            0.030957,            0.006931,            0.006931,            0.006931
                  33,            0.037708,            0.044132,            0.019263,             0.26333,             0.32051,             0.20895,            0.085158,             0.04913,            0.027283,             0.03162,            0.006832,            0.006832,            0.006832
                  34,            0.037804,            0.044589,            0.018325,             0.29634,             0.34799,             0.25304,             0.10706,            0.046392,            0.026661,            0.029329,            0.006733,            0.006733,            0.006733
                  35,            0.037004,            0.044373,              0.0181,             0.30071,             0.38641,             0.24592,             0.10119,            0.047214,            0.026275,             0.02916,            0.006634,            0.006634,            0.006634
                  36,            0.036879,            0.043925,            0.017928,             0.29325,             0.38861,             0.25309,             0.10361,            0.047534,            0.026251,            0.027838,            0.006535,            0.006535,            0.006535
                  37,            0.036795,             0.04352,            0.017915,             0.31849,             0.39145,             0.27493,             0.11528,            0.046066,            0.026429,            0.030452,            0.006436,            0.006436,            0.006436
                  38,            0.036632,            0.042995,            0.017801,             0.32818,             0.37439,             0.25967,             0.10687,            0.046657,            0.026324,            0.030858,            0.006337,            0.006337,            0.006337
                  39,            0.036499,            0.042103,            0.017502,             0.32309,             0.39005,             0.27908,             0.11512,            0.047205,             0.02582,            0.030193,            0.006238,            0.006238,            0.006238
                  40,             0.03637,            0.042627,            0.017329,             0.31445,             0.38839,             0.26547,              0.1107,            0.046859,            0.025701,            0.030549,            0.006139,            0.006139,            0.006139
                  41,            0.036167,            0.042373,            0.017637,             0.33541,              0.3935,              0.2831,             0.11948,            0.047724,            0.025589,            0.026981,             0.00604,             0.00604,             0.00604
                  42,            0.035664,            0.043216,            0.017154,             0.35245,             0.40176,             0.28704,             0.12201,            0.046357,            0.025667,            0.031069,            0.005941,            0.005941,            0.005941
                  43,            0.035842,            0.042325,            0.016952,             0.35515,              0.4032,             0.28471,             0.11669,             0.04659,            0.025326,            0.029126,            0.005842,            0.005842,            0.005842
                  44,            0.035574,            0.041919,            0.016656,             0.33968,             0.40313,             0.28508,             0.11808,            0.046589,             0.02663,            0.031577,            0.005743,            0.005743,            0.005743
                  45,            0.034968,            0.041866,            0.016558,             0.32504,              0.4032,             0.26489,              0.1071,            0.046951,            0.026916,            0.030918,            0.005644,            0.005644,            0.005644
                  46,            0.035105,            0.041741,            0.016378,             0.33023,             0.40715,             0.27278,             0.11313,            0.046971,            0.026548,            0.032154,            0.005545,            0.005545,            0.005545
                  47,            0.034795,             0.04116,            0.016337,             0.33849,             0.39549,             0.26488,             0.10854,            0.047518,             0.02643,            0.028374,            0.005446,            0.005446,            0.005446
                  48,            0.034771,            0.041275,            0.015745,             0.28575,             0.39521,             0.23405,            0.094137,            0.048614,            0.028482,            0.029655,            0.005347,            0.005347,            0.005347
                  49,            0.034004,            0.040611,            0.015338,             0.33703,             0.40328,             0.27057,             0.11067,            0.048844,            0.026897,            0.030714,            0.005248,            0.005248,            0.005248
                  50,            0.034048,            0.040536,            0.015675,              0.3589,             0.37614,             0.26863,             0.10987,            0.048931,            0.026818,             0.03026,            0.005149,            0.005149,            0.005149
                  51,            0.033738,            0.040075,            0.015692,             0.31785,              0.3949,             0.24803,             0.10362,            0.049183,            0.027833,            0.031732,             0.00505,             0.00505,             0.00505
                  52,            0.033493,            0.040258,            0.015075,             0.34668,             0.39691,             0.27049,             0.10975,            0.047962,            0.027098,            0.030631,            0.004951,            0.004951,            0.004951
                  53,            0.033119,            0.039987,            0.014974,             0.30399,             0.38846,              0.2285,            0.089975,            0.048067,            0.028233,            0.032987,            0.004852,            0.004852,            0.004852
                  54,            0.032649,            0.039285,            0.014867,              0.3554,              0.3998,             0.28887,             0.12189,            0.047209,            0.026695,            0.032054,            0.004753,            0.004753,            0.004753
                  55,             0.03246,             0.03919,            0.014682,             0.35023,             0.39172,              0.2712,              0.1119,             0.04738,            0.027875,            0.032228,            0.004654,            0.004654,            0.004654
                  56,            0.032209,            0.039317,            0.014752,              0.3315,             0.38284,             0.24863,             0.10029,             0.04782,            0.027807,             0.03261,            0.004555,            0.004555,            0.004555
                  57,            0.031893,            0.037975,            0.014178,             0.32553,             0.39172,             0.26398,             0.10953,            0.048889,             0.02806,             0.03447,            0.004456,            0.004456,            0.004456
                  58,            0.031613,              0.0385,            0.013873,             0.32649,             0.40583,             0.26306,              0.1081,            0.050086,             0.02848,            0.033301,            0.004357,            0.004357,            0.004357
                  59,            0.031606,             0.03758,            0.014105,              0.3348,             0.37984,             0.25456,             0.10346,            0.049721,            0.028886,            0.033977,            0.004258,            0.004258,            0.004258
                  60,            0.031266,            0.037508,            0.014036,             0.32616,              0.3881,             0.26418,             0.11079,            0.049576,            0.029112,            0.034871,            0.004159,            0.004159,            0.004159
                  61,            0.031152,            0.037467,            0.013502,             0.34587,             0.37806,              0.2712,             0.11491,            0.048941,            0.028669,            0.032854,             0.00406,             0.00406,             0.00406
                  62,            0.030706,            0.036725,            0.013363,             0.35697,             0.39404,             0.28514,             0.11519,            0.048025,            0.028786,            0.033485,            0.003961,            0.003961,            0.003961
